TestNo,NUM_WARPS,PREFER_L1,Score_1,Score_Overall
1,1,0,20.9835739136,20.9835739136
2,2,0,17.3299741745,17.3299741745
3,4,0,14.7429759502,14.7429759502
4,8,0,15.8455369473,15.8455369473
5,12,0,15.8196201324,15.8196201324
6,16,0,18.4465968609,18.4465968609
7,20,0,14.6476120949,14.6476120949
8,24,0,15.8694648743,15.8694648743
9,28,0,17.1237981319,17.1237981319
10,32,0,18.4689638615,18.4689638615
11,1,1,20.8471360207,20.8471360207
12,2,1,17.2727460861,17.2727460861
13,4,1,14.6510529518,14.6510529518
14,8,1,15.7170038223,15.7170038223
15,12,1,15.7065250874,15.7065250874
16,16,1,18.3046789169,18.3046789169
17,20,1,14.4358110428,14.4358110428
18,24,1,15.6736490726,15.6736490726
19,28,1,16.9922320843,16.9922320843
20,32,1,18.3074829578,18.3074829578
